instruction,input,response
Qui remplace Kaori dans l'équipe ?,Kaori,Caliste « Caliste » Henry-Hennebert
Quel est le poste de Wadi au sein de l'équipe ?,Wadi,analyste
Quelle équipe a pris la 1re place du classement lors du Summer Split 2023 ?,Summer Split 2023,l'équipe de la Karmine
Qui a battu le record d'éliminations sur une saison régulière lors du Summer Split ?,Caliste,Caliste
Qui a battu le record d'assistances lors du Summer Split ?,Targamas,Targamas
Quand la Karmine a-t-elle remporté son deuxième titre de champion de France ?,11 août 2023,le 11 août 2023
Contre quelle équipe la Karmine s'est-elle imposée lors des demi-finales du Summer Split 2023 des EMEA Master ?,Team GO,la structure française Team GO
Contre quelle équipe la Karmine s'est-elle qualifiée en finale des EMEA Master ?,Movistar Riders,l'équipe espagnole Movistar Riders
Quelle équipe a remporté le championnat d'Europe en 2023?,,La Karmine Corp a remporté le championnat d'Europe en 2023.
Quel joueur français a remporté ses 4èmes EMEA Master en 2023?,,"Lucas ""Saken"" Fayard a remporté ses 4èmes EMEA Master en 2023."
Quand la Karmine Corp a-t-elle annoncé son entrée à la LEC?,,La Karmine Corp a annoncé son entrée à la LEC le 18 octobre 2023.
Jusqu'à quelle année Caliste a-t-il prolongé son contrat avec la Karmine Corp?,,Caliste a prolongé son contrat avec la Karmine Corp jusqu'en 2026.
Comment s'est déroulée la première année de la Karmine Corp en LEC en 2024?,,"La Karmine Corp a fini dernière avec 2 victoires sur 9 lors du Winter split en 2024, ne se qualifiant pas pour les playoffs. Au Spring Split, l'équipe a également terminé à la dernière place malgré un changement de coach."
Qui est le responsable de la structure de la Karmine Corp?,,Kameto est le responsable de la structure de la Karmine Corp.
Qui est mis sur le banc en tant que jungler ?,,Zhou « Bo » Yang-Bo
Qui remplace Zhou « Bo » Yang-Bo en tant que jungler ?,,Can « Closer » Çelik
Qui est recruté en tant que toplaner ?,,Kim « Canna » Chang-Dong
Qui est remplacé par Kim « Canna » Chang-Dong en tant que toplaner ?,,Lucas « Cabochard » Simon-Meslet
Qui sera promu de l'équipe LFL KarmineCorp Blue au poste de midlaner ?,,Vladimiros « Vladi » Kourtidis
Qui est remplacé par Vladimiros « Vladi » Kourtidis au poste de midlaner ?,,Lucas « Saken » Fayard
Quand la Karmine Corp annonce la création de son roster Teamfight Tactics ?,,Le 22 août 2020
Qui remporte la Teamfight Tactics Galaxies Championship en devenant le tout premier champion du monde ?,,Emre « Double61 » Demirtas
Qui est le partenaire de jeu principal de Emre « Double61 » Demirtas dans l'équipe Teamfight Tactics de la Karmine Corp ?,,Muhammed « CanbizZ » Canbaz
D'où viennent Emre « Double61 » Demirtas et Muhammed « CanbizZ » Canbaz ?,,Du département de l'Orne et sont cousins
Qui a remporté la Trackmania Cup en 2020 ?,Trackmania Cup en 2020,La Karmine Corp
Quel est le nom du pilote français de la Karmine Corp pour la Trackmania Cup ?,Karmine Corp,Romain « DarkeR » Dassonneville
Qui est annoncé comme pilote titulaire pour la Trackmania Grand League en 2020 ?,Trackmania Grand League en 2020,Brendan « Bren » Seve
Quelle équipe a remporté son premier trophée sur Rocket League au WePlay e-sport Invitational?,,La Karmine Corp
Contre quelle équipe la Karmine Corp a-t-elle remporté la victoire pour obtenir son premier trophée sur Rocket League?,,Team BDS
Quel était le score de la finale entre la Karmine Corp et Team BDS?,,4-1
Quel était le format de la finale du tournoi?,,"Deux manches gagnantes de matchs en quatre parties gagnantes, sans avantage pour le vainqueur de l'arbre des gagnants"
Combien la Karmine Corp a-t-elle remporté en dotation pour sa victoire?,,15 000 dollars
Quel est le nom de l'équipe qui s'est engagée en Rocket League Championship Series (RLCS) ?,,La Karmine Corp
Combien de segments le circuit RLCS est-il divisé ?,,"Le circuit est divisé en 3 segments (automne, hiver et printemps)."
Quel joueur remplace Stake dans la Karmine Corp en avril 2022 ?,,Joseph « noly » Kidd
Qui est le coach principal de la Karmine Corp en avril 2022 ?,,Wagner « Eversax » Benjamin
Qui assiste Wagner « Eversax » Benjamin en tant que coach de la Karmine Corp en avril 2022 ?,,Arleyobi
Quels joueurs ont rejoint la KCorp pour remplacer Aztral et Noly en Septembre 2022 ?,Septembre 2022,Vatira et Exotiik
Quel titre la nouvelle équipe de la KCorp a-t-elle remporté durant le split d'Automne en Octobre 2022 ?,Octobre 2022,Un titre Regional Europe
Quel événement marque le point culminant de l'histoire de la KCorp en RLCS le 9 avril 2023 ?,9 avril 2023,La victoire 4-2 contre Faze en finale du Major d'Hiver 2023
Qui a été désigné meilleur joueur offensif du Major d'Hiver 2023 ?,Major d'Hiver 2023,Vatira
Quel titre international la KCorp a-t-elle remporté après les championnats du monde en 2023 ?,2023,Le titre du Major d'Hiver 2023
Quand a lieu le HereticsXP ?,,Le HereticsXP a lieu le 15 décembre 2023.
Qui remporte le showmatch lors du HereticsXP ?,,La Karmine Corp remporte le showmatch 13-7.
Combien d'équipes participent au tournoi Kickoff de la nouvelle saison VCT ?,,11 équipes participent au tournoi Kickoff de la nouvelle saison VCT.
Qui remporte le tournoi Kickoff de la nouvelle saison VCT ?,,La Karmine Corp remporte le tournoi Kickoff de la nouvelle saison VCT.
Quel est le résultat de la Karmine Corp contre FPX lors des Masters ?,,La Karmine Corp remporte 2-0 contre FPX lors des Masters.
Contre quelles équipes la Karmine Corp perd-elle lors des Masters ?,,La Karmine Corp perd contre Sentinels et Paper Rex lors des Masters.
Quelle équipe a été annoncée pour participer à l'édition 2023 des Game changers EMEA ?,date (9 février 2023),La Karmine Corp a annoncé une équipe 100% féminine pour participer à l'édition 2023 des Game changers EMEA.
Qui sont les membres de l'équipe 100% féminine annoncée pour participer aux Game changers EMEA ?,date (9 février 2023),"Les membres de l'équipe sont Asma « LiriLia » Boughida, Léa « matriix » Ransquin, Mélina « Mel » Houssein, Mathilde « Nelo » Beltoise et Nouhara « Ninou » Marcos Oraha."
Qui sont les coachs de l'équipe 100% féminine annoncée pour participer aux Game changers EMEA ?,date (9 février 2023),Les coachs de l'équipe sont Mathieu « LaAw » Plantin et Emma « Emash » Beziaud Le Pochat.
Quel est le jeu sur lequel la Karmine Corp annonce se lancer ?,date (21 janvier 2023),La Karmine Corp annonce se lancer sur Super Smash Bros. Ultimate.
Qui est le premier joueur à rejoindre les rangs du Blue Wall pour Super Smash Bros. Ultimate ?,date (21 janvier 2023),Le premier joueur à rejoindre les rangs du Blue Wall est Pedro « Kurama » Alonso Jr.
Quel événement a marqué la première performance de Kurama sous les couleurs de la Karmine ?,,La première performance de Kurama sous les couleurs de la Karmine s'est soldée par une 17e place au tournoi Genesis 9.
Qui a annoncé le retrait de la Karmine de la scène Super Smash Bros. Ultimate en décembre 2023 ?,,Kameto a annoncé le retrait de la Karmine de la scène Super Smash Bros. Ultimate en décembre 2023.
Pourquoi la Karmine se retire-t-elle de la scène Super Smash Bros. Ultimate ?,,"La Karmine se retire de la scène Super Smash Bros. Ultimate car le jeu n'est pas supporté au niveau esportif par l'éditeur Nintendo, rendant l'avenir trop instable sur le long terme."
Quelle place Kurama a-t-il fini au Summit 6 ?,,Kurama a fini à la 4e place du Summit 6.
Quelles sont les structures partenaires de la Karmine dans le circuit compétitif de Fortnite ?,,"Les structures partenaires de la Karmine dans le circuit compétitif de Fortnite sont Dignitas, Team Heretics, LOUD et ZETA DIVISION."
Qui est le cofondateur et président-directeur général de la Karmine Corp ?,,Kamel « Kameto » Kebir
Quel est le pays d'origine de Zouhaïr « Kotei » Darji ?,,France
Qui est le lead content producer de la Karmine Corp ?,,Erwin Hamayada
Qui est le directeur artistique de la Karmine Corp ?,,Dhav « Dhav » Oza
Quel est le nom de l'entreprise avec laquelle la Karmine Corp a signé un partenariat en septembre 2021 ?,septembre 2021,Direct Assurance
Avec quelle entreprise la Karmine Corp a-t-elle annoncé un partenariat en janvier 2022 ?,janvier 2022,Orange
Quelle entreprise est devenue le fournisseur officiel de la Karmine Corp en mai 2022 ?,mai 2022,Ekwateur
Quelle est la durée du partenariat entre la Karmine Corp et Ekwateur annoncé en mai 2022 ?,mai 2022,Jusqu'à la fin de l'année civile
Quelle est la durée du partenariat entre la Karmine Corp et le CIC annoncé en janvier 2024 ?,janvier 2024,3 ans
Quels sont les membres de l'équipe League of Legends LEC de Karmine Corp ?,Nom de l'équipe,"Canna, Closer, Vladi, Upset, Targamas, Reha, Apples, Shaves, Clément Thillier"
Quel est le rôle de Closer dans l'équipe League of Legends LEC de Karmine Corp ?,Nom du joueur,Jungler
Qui est le Head Coach de l'équipe League of Legends LEC de Karmine Corp ?,Nom de l'équipe,Reha
Quel est le rôle de Maynter dans l'équipe League of Legends LFL de Karmine Corp Blue ?,Nom du joueur,Toplaner
Qui est l'ADC de l'équipe League of Legends LFL de Karmine Corp Blue ?,Nom de l'équipe,Caliste
Qui est l'Assistant Coach de l'équipe League of Legends LFL de Karmine Corp Blue ?,Nom de l'équipe,Blidzy
Quel est le nom du joueur qui est un Performance Coach ?,Performance Coach,Soufiane Zahidi
Quels sont les noms des anciens joueurs de la Karmine Corp sur League of Legends ?,Anciens joueurs de la Karmine Corp,"Zoelys, DenVoske, Jiizuke, White, Wao, Cinkrof, Skeanz, Kaori, whiteinn, Wao"
Quels sont les rôles des anciens joueurs de la Karmine Corp sur League of Legends ?,Anciens joueurs de la Karmine Corp,"Support, Botlaner, Midlaner, Jungler, Toplaner, Jungler, Jungler, Botlaner, Support, Toplaner"
Quelles sont les dates de début et de fin des matchs des anciens joueurs de la Karmine Corp sur League of Legends ?,Anciens joueurs de la Karmine Corp,"22 septembre 2023 - 5 octobre 2023, 22 septembre 2023 - 5 octobre 2023, 22 septembre 2023 - 5 octobre 2023, 22 septembre 2023 - 5 octobre 2023, 22 septembre 2023 - 5 octobre 2023, 19 mai 2023 - 20 novembre 2023, 9 janvier 2023 - 19 décembre 2023, 9 janvier 2023 - 18 mai 2023, 9 janvier 2023 - 16 mai 2023, 15 décembre 2021 - 6 janvier 2023"
Combien de matchs ont joué les anciens joueurs de la Karmine Corp sur League of Legends ?,Anciens joueurs de la Karmine Corp,"7 matchs, 7 matchs, 7 matchs, 7 matchs, 7 matchs, 47 matchs, 18 matchs, 18 matchs, 18 matchs, 13 matchs"
Quel est le nom du joueur qui occupe le poste de Jungler pour l'équipe Hantera ?,Hantera,Jules Bourgeois
Quelle est la nationalité du joueur Rekkles ?,Rekkles,Drapeau de la Suède
Qui est l'entraîneur en chef de l'équipe Striker ?,Striker,Yanis Kella
"Combien de matchs a joué l'équipe composée de Cinkrof, Targamas et xMatty ?","Cinkrof, Targamas, xMatty",89 matchs
Quel est le poste de jeu d'Adam au sein de l'équipe ?,Adam,Toplaner
Quelle était la durée du contrat de Akabane avec l'équipe ?,Akabane,30 mars 2020 - 5 octobre 2020
Qui était le Botlaner de l'équipe jujutw0 ?,jujutw0,Julien Izzo
Quel était le poste de jeu de Nuclearint au sein de l'équipe ?,Nuclearint,Midlaner
Quels sont les joueurs de l'équipe Teamfight Tactics et leurs nationalités ?,,"- Emre Demirtas de nationalité française
    - Muhammed Canbaz de nationalité française
    - Christian Lüftner de nationalité allemande
    - Wet Jungler de nationalité allemande"
Quels sont les anciens joueurs de la Karmine Corp sur Trackmania et leurs postes ?,,"- Brendan Seve alias Bren, joueur
    - Youen Egler alias Otaaaq, joueur
    - Romain Dassonneville alias DarkeR, joueur"
Quels sont les membres de l'équipe Valorant VCT ?,,"Magnum (Martin Peňkov), Shin (Ryad Ensaad), marteen (Martin Pátek), N4RRATE (Marshall Massey), tomaszy (Tomás Machado), Engh (Andrey Sholokhov), ZE1SH (Ahmed El Sheikh), Youenn (Youenn Rocaboy)"
Quels sont les rôles des membres de l'équipe Valorant VCT ?,,"Joueur, Joueur, Joueur, Joueur, Joueur, Head Coach, Assistant Coach, Performance Coach"
Quelle est la nationalité de Nelo dans l'équipe Valorant GC ?,,Drapeau de la France
Qui est le Head Coach de l'équipe Valorant GC ?,,LaAw (Mathieu Plantin)
Quels sont les anciens joueurs de la Karmine Corp sur Super Smash Bros. Ultimate ?,,"Kurama (Alias), Pedro Alonso Jr. (Nom), Joueur (Poste), 21 janvier 2023 (Date d'arrivée), 19 décembre 2023 (Date de départ)"
Quels sont les membres de l'équipe Fortnite et leurs rôles ?,,"Malibuca (Pseudo), Danila Yakovenko (Nom), Joueur (Rôle), 9 mai 2024 (Date d'entrée)
                Andrejs Piratovs (Pseudo), Nom (Danila Yakovenko), Joueur (Rôle), 9 mai 2024 (Date d'entrée)
                Veno (Pseudo), Harry Pearson (Nom), Joueur (Rôle), 11 mai 2024 (Date d'entrée)
                Swizzy (Pseudo), Egor Luciko (Nom), Joueur (Rôle), 11 mai 2024 (Date d'entrée)
                Anas (Pseudo), Anas El-Abd (Nom), Joueur (Rôle), 26 mai 2024 (Date d'entrée)
                Oslo (Pseudo), Philippe Carvalho (Nom), Coach (Rôle), 9 mai 2024 (Date d'entrée)"
Qui est membre de l'équipe Tekken 8 et quel est son rôle ?,,"JDCR (Pseudo), Kim Hyun-jin (Nom), Joueur (Rôle), 29 mai 2024 (Date d'entrée)"
Quels sont les membres de l'équipe Street Fighter 6 et quel est leur rôle ?,,"Kilzyou (Pseudo), Kilyan Faucheux (Nom), Joueur (Rôle), 29 mai 2024 (Date d'entrée)"
Quels sont les titres remportés par l'équipe de la Karmine Corp dans League of Legends?,Karmine Corp,7 titres
Quels sont les titres remportés par l'équipe de la Karmine Corp dans Teamfight Tactics?,Karmine Corp,6 titres
Quels sont les titres remportés par l'équipe de la Karmine Corp dans Rocket League?,Karmine Corp,11 titres
Quels sont les titres remportés par l'équipe de la Karmine Corp en EMEA Masters?,Karmine Corp,"Champion Printanier en 2021 et 2022, Champion Estival en 2021 et 2023"
Quels sont les titres remportés par l'équipe de la Karmine Corp en LFL?,Karmine Corp,"Champion Printanier en 2021 et 2024, Champion Estival en 2023"
Quels sont les titres remportés par l'équipe de la Karmine Corp au World Championship?,Karmine Corp,Champion Galaxies en 2020
Quels sont les titres remportés par l'équipe de la Karmine Corp en Rising Legends (EMEA)?,Karmine Corp,"Champion G&G en 2022, Champion MA! en 2023, Champion MA! Golden Spatula Cup en 2023"
Quels sont les titres remportés par l'équipe de la Karmine Corp en HexLeague?,Karmine Corp,Champion en 2022
Quels sont les titres remportés par l'équipe de la Karmine Corp en Fresh Cup?,Karmine Corp,Champion en 2022
Quels sont les titres remportés par l'équipe de la Karmine Corp au RLCS Winter Split Major?,Karmine Corp,Champion en 2023
Quels sont les titres remportés par l'équipe de la Karmine Corp au RLCS Europe Regional?,Karmine Corp,Vainqueur Fall Cup en 2022
Quels événements a remportés le joueur en 2023 ?,Année 2023,"Winter Open, Winter Cup, Olympic Esports Week Showmatch, Flip & Spin, TMWT World Championship, Maji Mondays, XPEvo Cup"
Quels événements a remportés le joueur en 2024 ?,Année 2024,"Open Qualifier #1, Open Qualifier #2, Open Qualifier #3, VCT EMEA Kickoff, VCT Game Changers EMEA Contenders, FNCS Major 2, FNCS Major 3: North America - Qualifier 1, FNCS Major 3 - Semi-Finals 2: Europe, ESL Europe Regional"
Quels événements le joueur a-t-il remportés en 2021 ?,Année 2021,WePlay Esports Invitational (EMEA)
Quels jeux le joueur a-t-il remportés en 2023 ?,Année 2023,"Trackmania, Super Smash Bros. Ultimate, Valorant"
Quels jeux le joueur a-t-il remportés en 2024 ?,Année 2024,"Fortnite, Street Fighter 6"
Quels événements le joueur a-t-il remportés en équipe en 2023 ?,Année 2023,"Get On My Level, CIRQUE du CFL, Ultimate Fighting Arena"
Qui a remporté la Squads Victory Cup en 2024 ?,,Vainqueur C5S3 - Session 2: Europe
Quelle équipe a remporté la Duos Cash Cup en 2024 en Amérique du Nord ?,,Vainqueur C5S3 - Week 4
Qui a remporté la Duos ZB Cash Cup en 2024 au Brésil ?,,Vainqueur C5S3 - Week 3
Quelle équipe a remporté la Dzert Sandstorm en 2024 ?,,Vainqueur
Quel joueur a remporté le CPT World Warrior France-Monaco #2 en 2024 ?,,Vainqueur
Quelle équipe a été finaliste de la LFL Estival en 2021 ?,,League of Legends
Quelle équipe a obtenu la 3e place lors de la Coupe de France en 2022 ?,,League of Legends
Quelle équipe a obtenu la 3e place lors des Dragonlands en 2022 ?,,Teamfight Tactics
Quelle équipe a obtenu la 5e/8e place lors du Rocket League Championship Series 2022 ?,,Rocket League
Quelle équipe a obtenu la 3e/4e place lors du Rocket League Championship Series 2023 ?,,Rocket League
Quelle structure a le plus de participation en finale des Amazon European Masters ?,,League of Legends
Quelle structure est la plus titrée des Amazon European Masters ?,,League of Legends
Combien de fois la seule structure a-t-elle remporté les Amazon European Masters de suite ?,,"Deux fois (Printemps 2021, Été 2021)"
Quelle structure est la seule à s'être qualifiée trois fois de suite pour la finale des Amazon European Masters ?,,League of Legends
Quelles sont les saisons où la seule structure a remporté les Amazon European Masters trois fois de suite ?,,"Printemps 2021, Été 2021, Printemps 2022"
Quelles sont les saisons où la seule structure s'est qualifiée deux fois de suite pour la finale des Amazon European Masters ?,,"Printemps 2021, Été 2021"
Qui a remporté le tout premier championnat du monde de Teamfight Tactics en 2020?,,Le champion du monde de Teamfight Tactics en 2020 était [nom du joueur].
Quel est le rôle du top laner dans le jeu League of Legends ?,,"Le top laner est un rôle du jeu League of Legends où le joueur joue sur la zone haute de la carte appelée la top lane.

-"
Où évolue le jungler dans le jeu League of Legends ?,,"Le jungler évolue dans la jungle, une zone de la carte remplie de monstres.

-"
Quel est le rôle du mid laner dans le jeu League of Legends ?,,"Le mid laner est un rôle du jeu League of Legends où le joueur joue sur la zone se trouvant au milieu de la carte appelée la mid lane.

-"
Quel est le rôle de l'AD Carry dans le jeu League of Legends ?,,"L'AD Carry, aussi appelé ADC ou bot laner, est un rôle du jeu League of Legends où le joueur joue sur la zone basse de la carte appelée la bot lane.

-"
Quel est le rôle du support dans le jeu League of Legends ?,,"Le support est un rôle du jeu League of Legends où le joueur joue sur la zone basse de la carte appelée la bot lane.

-"
Quel est le surnom de l'équipe Misfits Gaming en référence à leur logo ?,,"Le surnom de l'équipe Misfits Gaming est en référence à leur logo représentant un lapin.

-"
"Que désigne le terme ""roster"" dans le contexte d'une équipe de jeu vidéo ?",,"Le terme ""roster"" désigne l'ensemble des joueurs d'une équipe.

-"
Qu'est-ce qu'un match amical dans le contexte des compétitions de jeu vidéo ?,,Un match amical est un match en condition de tournoi mais qui ne s'inscrit dans aucune compétition officielle.
Quel est le nom de l'équipe qui a remporté les Masters européens de League of Legends?,,Karmine Corp
Quel est le jeu sur lequel la Karmine Corp a été championne du monde?,,Trackmania
Qui a déclaré : « On a voulu voir plus haut avec Prime »?,,Kameto
Quel est le nom de l'équipe qui a remporté le segment de printemps de la LFL?,,Karmine Corp
Quelle est la date à laquelle la Karmine Corp a remporté les European Masters?,,2 mai 2021
Quel est le nom de l'auteur de l'article sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,Victoire de la Karmine Corp aux European Masters Summer split 2021,"Paul Arrivé

-"
Quelle est la date de publication de l'article sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,Victoire de la Karmine Corp aux European Masters Summer split 2021,"19 septembre 2021

-"
Où peut-on trouver l'article sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,Victoire de la Karmine Corp aux European Masters Summer split 2021,"Sur L'Équipe

-"
Quel est le titre de l'article sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,Victoire de la Karmine Corp aux European Masters Summer split 2021,"La Karmine Corp gagne les European Masters Summer split 2021

-"
Qui a publié l'article sur la conservation du trophée des European Masters par la Karmine Corp ?,Conservation du trophée des European Masters par la Karmine Corp,"L'Équipe

-"
Quelle est la date de consultation de l'article sur la conservation du trophée des European Masters par la Karmine Corp ?,Conservation du trophée des European Masters par la Karmine Corp,"8 mai 2022

-"
Qui est l'auteur de l'article sur l'invincibilité de la Karmine Corp dans League of Legends ?,Invincibilité de la Karmine Corp dans League of Legends,"Paul Arrivé

-"
Quelle est la date de publication de l'article sur l'invincibilité de la Karmine Corp dans League of Legends ?,Invincibilité de la Karmine Corp dans League of Legends,"15 septembre 2023

-"
Où peut-on trouver l'article sur l'intégration de la Karmine Corp à l'élite européenne de League of Legends ?,Intégration de la Karmine Corp à l'élite européenne de League of Legends,"Sur Le Monde

-"
Quelle est la date de consultation de l'article sur l'intégration de la Karmine Corp à l'élite européenne de League of Legends ?,Intégration de la Karmine Corp à l'élite européenne de League of Legends,8 janvier 2024
"Quelle est la date à laquelle la Karmine Corp s'installera dans les ""Arènes de l'Agora"" à Evry ?","nom de l'événement (""Arènes de l'Agora"")",En 2024
Quel est le nom du nouveau projet de la Karmine Corp pour trouver les talents de demain ?,,Karmine Blue Stars
Quel joueur la Karmine Corp a-t-elle annoncé comme premier joueur pour son entrée en LFL en 2021 ?,nom de la compétition (LFL),Adam
Quelle est la source de l'article qui mentionne que les jeunes de la Karmine impressionnent dans League of Legends ?,nom de la compétition (League of Legends),L'Équipe
Quelle est la date à laquelle l'article sur la Karmine Corp annonçant Adam en premier joueur a été consulté sur Millenium FR ?,,1er juin 2021
Quelle est l'équipe de League of Legends de la Karmine Corp?,,La Karmine Corp
Quand la Karmine Corp a-t-elle remporté les European Masters?,,La Karmine Corp a remporté les European Masters
Qui a félicité l'équipe de Kameto et Prime?,,Macron
Qui a quitté la Karmine Corp dans le domaine de l'esport League of Legends ?,,Adam
Qui a rejoint la Karmine Corp dans le domaine de l'esport League of Legends ?,,Cabochard
Quel événement sportif a remporté Misfits Premier en 2021 ?,LFL Summer 2021,Misfits Premier a remporté le championnat de France
Quels sont les noms des joueurs français mentionnés dans l'article sur les European Masters ?,Akabane et Hantera,Akabane et Hantera
Quelle équipe a battu la Karmine Corp en quart de finale des European Masters ?,Aucune,Vitality.Bee
Quelle équipe a renversé Vitality et jouera la finale des European Masters ?,Aucune,Karmine Corp
Quelle équipe a battu la Karmine Corp dans le premier tour des playoffs de la LFL Summer Split ?,Aucune,GameWard
Quelle équipe a été éliminée de la League of Legends - LEC ?,Rogue,"Rogue

-"
Quelle équipe a impressionné dans la League of Legends - LEC ?,G2,"G2

-"
Quelle équipe a été KO dans le top 4 de la League of Legends - LEC ?,MAD Lions,"MAD Lions

-"
Qui va remplacer le poste d'entraîneur en chef pour Karmine Corp ?,KARMINE CORP,"SOURCES KARMINE CORP

-"
Qui est la première recrue estivale de la Karmine Corp pour la League of Legends - LEC ?,Closer,"Closer

-"
Quel joueur coréen a rejoint l'équipe Karmine Corp pour le Summer Split ?,Canna,"Canna

-"
Quel joueur français a été sacré champion du monde de TFT ?,Double61,Double61
Quelle est la date de publication de l'article sur la Karmine Corp sur Rocket League sur le site Team aAa?,"Rocket League, Team aAa",25 juin 2021
Qui a rejoint l'écurie de la Kameto Corp sur Trackmania selon l'article sur actustream.fr?,"Trackmania, actustream.fr",Bren
Quand la Karmine Corp a-t-elle été championne du monde sur TrackMania selon l'article sur Red Bull?,"TrackMania, Red Bull",27 novembre 2023
Sur quel site web peut-on lire que la Karmine Corp est devenue championne du monde sur le jeu Trackmania?,Trackmania,BFMTV
Quelle est la date de publication de l'article sur la Karmine Corp sur Gaming Up ?,,"20 avril 2022

-"
Quel site a publié un article sur le nouveau roster de la Karmine Corp le 3 octobre 2022 ?,,"Eclypsia

-"
Qui a déclaré : « On va éclater tout le monde » dans un article sur Rocket League ?,,"Vatira

-"
Quel événement la Karmine Corp a-t-elle remporté le 31 octobre 2022 ?,,"Regional 2 des RLCS EU

-"
Quelle équipe la Karmine Corp a-t-elle battue pour remporter le Major du segment hivernal ?,Faze Clan,Faze Clan
Quel est le nom de l'auteur de l'article sur la Karmine Corp dans Rocket League ?,Rocket League,Lucas Jacque
Quelle est la date de publication de l'article sur la Karmine Corp dans Valorant sur le site Team aAa ?,"Valorant, Team aAa",5 mai 2022
Sur quel site web peut-on trouver l'article sur la séparation du roster Valorant de la Karmine Corp ?,Mandatory.gg,Mandatory.gg
Quelle est la date de consultation de l'article sur la Karmine Corp dans Rocket League sur le site Eclypsia ?,"Rocket League, Eclypsia",11 avril 2024
Quel est le titre de l'article sur la Karmine Corp remportant son premier titre européen dans Valorant sur le site L'Équipe ?,"Valorant, L'Équipe",Esport - Valorant : premier titre européen pour la Karmine Corp
Quel événement VALORANT est prévu en 2024 à Madrid ?,Aucune,Masters Madrid
Quel site web a publié des informations sur l'équipe KC Valorant féminine et ses joueuses en février 2023 ?,Aucune,Breakflip
Qui est le premier joueur officiel de la Karmine Corp sur Smash Bos Ultimate ?,Aucune,Kurama
Quelles activités la Karmine Corp a-t-elle cessé en décembre 2023 ?,Aucune,"Trackmania, TFT et Smash"
Sur quel site web la Karmine Corp a annoncé son arrivée sur Fortnite en avril 2024 ?,Aucune,BFMTV
Quelle entreprise s'associe à la Karmine Corp selon l'article de Sport Stratégies consulté le 15 septembre 2021 ?,"Sport Stratégies, 15 septembre 2021","Direct Assurance

-"
Quelle entreprise devient le nouveau partenaire de la Karmine Corp selon l'article de L'Équipe consulté le 16 avril 2024 ?,"L'Équipe, 16 avril 2024","Orange

-"
Quelle entreprise devient fournisseur de la Karmine Corp selon l'article de sportstrategies.com consulté le 2 mai 2022 ?,"sportstrategies.com, 2 mai 2022","ekWateur

-"
Quelle entreprise devient partenaire de la Karmine Corp pour trois ans selon l'article de L'Équipe du 3 janvier 2024 ?,"L'Équipe, 3 janvier 2024",Le CIC
Quand a été fondée Karmine Corp ?,,30 mars 2020 (Kameto Corp)  16 novembre 2020 (Karmine Corp)
Quels sont les sigles utilisés pour désigner Karmine Corp ?,,"KCorp, KC"
Quels sont les domaines d'activité de Karmine Corp ?,,"League of Legends, Teamfight Tactics, Rocket League, Valorant, Fortnite, Tekken 8, Street Fighter 6, autres activités récréatives et de loisirs"
Où est situé le siège de Karmine Corp ?,,Tours (de jure)  Paris (de facto)
Qui sont les fondateurs de Karmine Corp ?,,"Kameto, Kotei (d), Prime"
Qui est le président actuel de Karmine Corp ?,Karmine Corp,Kameto (depuis 2021)
Quels sont les sponsors de Karmine Corp ?,,"Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio"
Quel est l'identifiant SIREN de Karmine Corp ?,,8905751
Quel est le site web de Karmine Corp ?,,www.karminecorp.fr
Quelle section de jeu a été créée par la structure ?,,League of Legends
Quels titres la structure a-t-elle remportés en 2021 ?,,"Championne des segments de printemps et d'été 2021, premier titre à trois reprises et réalisation d'un triplé"
Quel événement annuel est organisé par la structure ?,,Karmine Corp Experience (KCX)
Quand Kamel « Kameto » Kebir a-t-il annoncé la création de sa structure d'e-sport ?,Nom de la structure (Kameto Corp),Le 30 mars 2020
Quels sont les jeux sur lesquels la Kameto Corp s'est fait connaître ?,"Noms des jeux (Teamfight Tactics (TFT), TrackMania)",Teamfight Tactics et TrackMania
Avec qui Kamel « Kameto » Kebir a-t-il créé sa structure d'e-sport?,Nom du co-fondateur (Zouhair « Kotei » Darji),Zouhair « Kotei » Darji
Quels ont été les joueurs de la Kameto Corp qui ont remporté les mondiaux sur Teamfight Tactics (TFT)?,Nom du joueur (Emre « Double61 » Demirtas),Emre « Double61 » Demirtas
Quels joueur de la Kameto Corp ont remporté un titre de champions du monde sur TrackMania?,"Noms des joueurs (Brendan « Bren » Seve, Youen « Otaaaq » Egler)",Brendan « Bren » Seve et Youen « Otaaaq » Egler
Qui a rejoint le duo en novembre 2020 comme cofondateur?,novembre 2020,Amine « Prime » Mekri
Quel est le nom de la structure renommée après l'arrivée d'Amine « Prime » Mekri en tant que cofondateur?,Karmine Corp,Karmine Corp
Quelle ligue la Karmine Corp a-t-elle rejoint pour la saison suivante après l'arrivée d'Amine « Prime » Mekri?,Ligue française de League of Legends (LFL),Ligue française de League of Legends (LFL)
